n,cagr_median,cagr_mean,cagr_p5,tw_p5,tw_median,mdd_p95,p_ruin,strat,window_years
800,0.11576691123806027,0.11548040810631922,-0.040158398898775316,0.8147233444317519,1.7291586725604824,0.540188779045052,0.0,naked 1x (no opt),5
800,0.13439982100940007,0.1333212986095414,-0.04990194980526272,0.7742074592668488,1.8784225359618176,0.5976160358219359,0.0,combo 5%OTM r0.5 spread=0%,5
800,0.13349404906821272,0.13230119988473013,-0.05052494376881336,0.7716728837522229,1.8709362003582948,0.598779143305559,0.0,combo 5%OTM r0.5 spread=2%,5
800,0.13242620605685163,0.1307726034067622,-0.05139656873529029,0.7681381764514278,1.8621411160517234,0.6005179225243455,0.0,combo 5%OTM r0.5 spread=5%,5
800,0.13057447460995864,0.12822907508873416,-0.05353366900878592,0.7595258350558879,1.846968118249455,0.6034002682282624,0.0,combo 5%OTM r0.5 spread=10%,5
800,0.1251934398660003,0.12315748057024468,-0.057905330144632734,0.7421479966422243,1.8034373383577065,0.6082930419075812,0.0,combo 5%OTM r0.5 spread=20%,5
800,0.10076838865106363,0.10152410813062165,0.027075859412810623,1.7062811609591673,6.8221264066604075,0.700682891763704,0.0,naked 1x (no opt),20
800,0.11671770084065247,0.11689758642721458,0.02904261851576099,1.7728306633898976,9.096372235526616,0.7666950378798169,0.0,combo 5%OTM r0.5 spread=0%,20
800,0.11576543132449679,0.11587952262195511,0.0281938954162441,1.7438151971582172,8.94249358064214,0.7672407954594972,0.0,combo 5%OTM r0.5 spread=2%,20
800,0.11459999730099057,0.1143538697023238,0.02683565883464114,1.6983173582002986,8.757517438989005,0.7686695377741385,0.0,combo 5%OTM r0.5 spread=5%,20
800,0.11220558046907769,0.11181495811697612,0.024430835223770375,1.6205147563914453,8.388981856802056,0.775718056993577,0.0,combo 5%OTM r0.5 spread=10%,20
800,0.1073120805644151,0.10675151924248988,0.019599493378623337,1.4743399809355335,7.680711608981727,0.7851956963605458,0.0,combo 5%OTM r0.5 spread=20%,20
